HourOfDay,AverageTripDuration
00,14.017793737362226
01,13.975069898907137
02,13.035635592676687
03,13.322282520526889
04,13.799857931121991
05,13.275583221175413
06,12.487420237563239
07,13.395006418527393
08,14.62750454336782
09,14.670106419765613
10,14.657939169698276
11,14.93582122190555
12,15.130881322885697
13,15.553918733195134
14,16.52313838078945
15,30.223498632126258
16,17.213072069374654
17,16.51082565440862
18,15.29045374860119
19,14.221208805985723
20,13.575899636364227
21,13.510855327392887
22,14.231797625637359
23,13.95847112523272
